Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1961","1961","No","95100","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1962","1962","No","92800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1963","1963","No","83500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1964","1964","No","96500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1965","1965","No","109800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1966","1966","No","105800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1967","1967","No","98100","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1968","1968","No","86000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1969","1969","No","88600","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1970","1970","No","99800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1971","1971","No","99800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1972","1972","No","89900","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1973","1973","No","90000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1974","1974","No","90000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1975","1975","No","90000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1976","1976","No","90000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1977","1977","No","100000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1978","1978","No","100000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1979","1979","No","100000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1980","1980","No","110000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1981","1981","No","106000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1982","1982","No","100000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1983","1983","No","95000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1984","1984","No","90000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1985","1985","No","81000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1986","1986","No","83000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1987","1987","No","87000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1988","1988","No","82000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1989","1989","No","86000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1990","1990","No","80000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1991","1991","No","72900","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1992","1992","No","36200","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1993","1993","No","20000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1994","1994","No","26900","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1995","1995","No","40000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1996","1996","No","53900","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1997","1997","No","57300","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1998","1998","No","56500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","1999","1999","No","67000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2000","2000","No","76000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2001","2001","No","82000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2002","2002","No","92000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2003","2003","No","111000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2004","2004","No","131800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2005","2005","No","157000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2006","2006","No","173000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2007","2007","No","171000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2008","2008","No","175000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2009","2009","No","203300","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2010","2010","No","218000","A","Official figure",""
