gdp;life_expectancy_male;life_expectancy_female;gdp_per_capita
20514.0;62.8;65.8;551.9
15059.0;76.7;80.1;5223.8
173757.0;75.4;77.8;4114.7
105902.0;57.8;63.4;3437.3
1611.0;75.7;77.9;16727.0
518475.0;73.0;79.8;11687.6
12433.0;71.1;78.3;4212.1
1453871.0;81.2;85.2;58392.7
455508.0;78.9;83.8;51230.3
20514.0;62.8;65.8;551.9
15059.0;76.7;80.1;5223.8
173757.0;75.4;77.8;4114.7
105902.0;57.8;63.4;3437.3
1611.0;75.7;77.9;16727.0
518475.0;73.0;79.8;11687.6
12433.0;71.1;78.3;4212.1
1453871.0;81.2;85.2;58392.7
455508.0;78.9;83.8;51230.3
46939.0;70.3;75.3;4717.7
12424.0;71.5;75.9;32218.1
37876.0;76.2;78.2;24133.5
269628.0;70.5;74.1;1670.8
5087.0;77.6;80.4;17745.9
59662.0;69.3;79.3;6311.7
543026.0;79.0;83.7;47293.0
1871.0;71.4;77.6;4884.7
10412.0;59.8;62.8;906.5
2658.0;71.0;71.6;3523.8
40288.0;68.3;74.0;3548.6
19782.0;74.6;79.6;5951.4
18615.0;66.0;71.9;8258.2
1868613.0;71.9;79.3;8920.7
13567.0;74.5;76.9;31627.2
66199.0;71.3;78.5;9387.8
16200.0;60.1;61.6;820.2
3285.0;59.2;62.8;294.0
1977.0;69.2;75.9;3635.4
24572.0;67.2;71.5;1512.1
38694.0;57.5;60.0;1534.5
1712562.0;80.2;84.2;46192.4
2243.0;50.5;54.9;480.7
11387.0;52.4;55.2;735.7
298231.0;77.4;82.3;15923.4
13608152.0;74.5;79.0;9531.9
330228.0;74.2;79.8;6649.6
1166.0;62.3;65.8;1400.5
14173.0;62.7;65.6;2702.6
47146.0;58.7;61.7;560.8
60126.0;77.4;82.7;12026.5
60991.0;75.0;81.4;14674.0
100023.0;76.7;80.7;8821.8
24963.0;78.6;82.8;28967.6
245226.0;76.5;81.8;22992.1
355675.0;78.7;82.7;61833.7
2923.0;64.6;68.7;3048.6
551.0;73.8;78.2;7691.3
81299.0;70.7;77.1;7650.1
2581.0;67.2;71.3;2035.5
108398.0;74.0;79.6;6344.9
249751.0;69.5;74.1;2537.5
26057.0;68.1;77.5;4058.2
13324.0;57.3;59.4;10179.2
6855.0;63.6;68.0;1985.4
30747.0;74.0;82.5;23241.9
4711.0;55.2;63.9;4145.7
80292.0;64.1;67.9;735.1
5537.0;65.6;69.1;6267.0
276878.0;78.8;84.5;50135.7
2778892.0;79.4;85.4;41358.1
16994.0;64.0;68.2;8018.8
1633.0;60.2;63.0;716.1
17600.0;69.1;77.9;4396.7
3949549.0;78.7;83.6;47513.7
65535.0;62.6;64.7;2201.6
218139.0;79.5;84.5;20731.2
1169.0;70.1;75.0;10485.9
78461.0;71.0;76.8;4549.0
11640.0;60.3;61.5;937.6
1459.0;55.8;59.7;778.4
3818.0;66.7;72.9;4900.8
9287.0;61.4;65.7;834.9
23970.0;72.7;77.3;2500.1
157883.0;73.0;80.1;16264.0
25882.0;81.2;84.3;76867.3
2779352.0;68.1;70.5;2054.8
1042173.0;69.3;73.6;3893.5
473091.0;75.3;77.6;5783.5
212272.0;68.3;72.4;5523.1
382674.0;80.4;83.7;79414.6
370588.0;81.0;84.3;44214.9
2084882.0;81.0;85.4;34388.5
43028.0;56.1;58.6;1716.4
15714.0;72.8;75.9;5354.3
4971323.0;81.3;87.5;39082.1
42231.0;72.7;76.1;4237.8
179340.0;68.8;77.4;9789.5
87906.0;63.8;68.5;1710.5
189.0;63.9;72.0;1627.4
17487.0;68.3;75.4;687.9
1720489.0;79.6;85.7;33621.9
141698.0;74.6;76.4;34248.8
8093.0;67.2;75.4;1283.8
17954.0;65.7;69.2;2542.5
34426.0;69.9;79.8;17851.6
56409.0;77.0;80.8;8223.7
2631.0;50.4;56.8;1248.0
2122.0;62.2;65.0;440.3
34377.0;69.9;75.7;5147.3
53455.0;70.0;81.1;19082.5
70920.0;79.8;84.2;117369.5
13851.0;64.9;68.1;527.4
7196.0;60.3;66.6;396.6
358579.0;74.0;78.1;11373.3
5327.0;77.1;80.4;10330.6
17172.0;58.0;59.5;900.1
14549.0;80.4;84.1;33122.8
214.0;71.3;72.5;3666.9
7620.0;63.0;66.2;1730.4
771355.0;74.3;80.2;9367.9
1223401.0;72.1;77.8;9694.9
371.0;66.1;69.4;3296.4
11309.0;67.4;75.9;2791.0
13010.0;65.5;73.8;4103.7
5507.0;74.2;79.1;8771.7
117921.0;75.1;77.5;3272.9
14717.0;57.0;62.8;498.9
72745.0;63.7;69.8;1354.4
14519.0;60.0;65.8;5930.1
127.0;57.8;64.8;11875.9
27830.0;68.8;71.7;990.6
914105.0;80.3;83.8;53583.1
207921.0;80.3;83.8;43836.2
13118.0;70.6;77.7;2028.9
12821.0;60.7;63.0;571.3
421821.0;53.3;55.1;2153.5
12629.0;73.6;77.6;6062.9
2778892.0;79.4;85.4;41358.1
92111.0;75.8;80.0;19072.8
282346.0;66.1;68.0;1330.4
284.0;68.1;77.8;15859.4
65055.0;75.1;81.5;15575.1
23077.0;62.9;65.4;2681.4
40307.0;72.1;76.2;5794.6
222237.0;73.7;79.2;6947.3
330910.0;67.1;75.3;3102.7
585661.0;74.5;82.4;15444.0
240792.0;78.7;84.6;23477.7
191362.0;78.9;81.8;68793.7
239552.0;72.4;79.3;12280.8
1660514.0;66.8;77.5;11394.1
9510.0;66.3;70.5;773.0
1922.0;74.7;77.4;10566.0
811.0;70.1;74.9;7361.3
833.0;71.1;75.2;4249.6
1638.0;81.7;86.4;48472.7
411.0;67.7;72.4;1948.1
782483.0;73.7;76.5;23217.2
23809.0;65.3;69.4;1501.7
50597.0;73.2;78.4;7208.8
1590.0;69.8;77.3;16377.9
4101.0;53.2;54.8;536.1
361115.0;81.2;85.5;62720.9
105956.0;73.7;80.8;19430.8
54034.0;78.2;83.8;26005.1
1271.0;71.1;74.6;1946.9
1494.0;55.3;58.7;99.6
368094.0;60.2;67.1;6369.2
8207.0;56.0;58.9;747.7
1419735.0;80.6;86.0;30405.8
88942.0;73.3;80.0;4189.7
50515.0;63.1;66.8;1208.4
3458.0;68.3;74.8;6003.7
556086.0;80.8;84.4;55766.8
705141.0;81.6;85.4;82708.5
16628.0;65.9;77.7;981.3
7523.0;68.6;73.0;826.6
57145.0;63.0;66.6;1044.1
504992.0;73.1;80.6;7273.6
5165.0;59.7;61.4;654.8
504.0;68.8;72.7;4885.8
23808.0;70.7;76.0;17130.3
39895.0;74.4;78.5;3449.6
771355.0;74.3;80.2;9367.9
40749.0;64.5;71.5;6964.6
46.0;67.4;71.9;4000.6
30098.0;60.4;65.0;704.4
130832.0;66.8;76.6;2956.9
414179.0;77.1;79.1;43005.0
2855297.0;79.4;82.9;42526.4
20580223.0;76.3;81.3;62917.9
59597.0;73.9;81.3;17278.1
50500.0;69.4;73.6;1555.0
889.0;68.8;71.9;3037.2
208338.0;68.4;76.1;7212.2
244901.0;71.2;79.4;2563.2
26672.0;64.4;67.7;935.9
27283.0;60.3;66.2;1572.3
24312.0;59.2;62.2;1683.8
